RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
,Duty,404,Takes up at 10:15 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,10:15,,,,,,,,,
24,,,Dublin Airport,,11:10,,,,,,,,,
,,,Broadstone (Stop #190),12:10,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,Duty,422,Takes up at 12:10 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,12:10,,,,,,,,,
24,,,Merrion Square,,12:40,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,14:10,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,15:40,,,,,,,,,
,,,Constitution Hill (Stop #1619),16:25,,,,,,,,,,
,Duty,422,Takes Bus 11 at 17:40 Constitution Hill,,,,,,,,,,,
,Duty,457,Takes up at 16:25 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,16:25,,,,,,,,,
24,,,Dublin Airport,,17:30,,,,,,,,,
,,,,,,,,,,,,,,
SPL,,,Merrion Square,19:20,,,,,,,,,,
,,,Phibsboro Garage,19:50,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 4,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,404,Reports at 04:47,,,,,,,,,,,
SPL,,,Departs Garage,,04:55,,,,,,,,,
24,,,Merrion Square,,05:20,23,,,Charlestown SC,,21:40,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,06:50,24,,,Merrion Square,,22:40,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,08:40,,,,Dublin Airport,00:00,,,,
,,,Constitution Hill (Stop #1619),09:15,,,,,,,,,,
,Duty ,404,Take Bus 3 10:15 Constitution Hill,,,,,,,,,,,
,Duty ,407,Takes up 09:15 Constitution Hill,,,SPL,,,,,,,,
,,,Constitution Hill (Stop #1619),,09:15,,,,Phibsboro Garage,00:35,,,,
24,,,Dublin Airport,,10:10,,Finish,Duty,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,11:40,,,,,,,,,
,,,Constitution Hill (Stop #1619),12:15,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,Duty ,417,Takes up 12:15 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,12:15,,,,,,,,,
24,,,Dublin Airport,,13:10,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,14:40,,,,,,,,,
,,,Constitution Hill (Stop #1619),15:15,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,Duty ,430,Takes up 15:15 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,15:15,,,,,,,,,
24,,,Dublin Airport,,16:30,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,18:10,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Charlestown SC,,19:20,,,,,,,,,
,,,Broadstone (Stop #190),19:55,,,,,,,,,,
,Duty ,430,Take bus 1 21:20 Broadstone ,,,,,,,,,,,
,Duty ,434,Take up at 19:55 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,19:55,,,,,,,,,
23,,,Merrion Square,,20:30,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
