RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 4,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,404,Reports at 05:02,,,,,,,,
SPL,,,Departs Garage,,05:10,,Duty,420,Takes up at 17:05 Constitution Hill,,
24,,,Merrion Square,,05:30,,,,Constitution Hill (Stop #1619),,17:05
,,,,,,23,,,Charlestown SC,,17:50
24,,,Dublin Airport,,06:55,,,,,,
,,,,,,24,,,Merrion Square,,19:00
23,,,Merrion Square,,08:15,,,,,,
,,,Constitution Hill (Stop #1619),08:40,,24,,,Dublin Airport,,20:25
,Duty,404,Takes Bus 9 at 09:50 at Constitution Hill,,,,,,,,
,,,,,,SPL,,,Merrion Square,21:45,
,Duty,452,Takes up at 12:05 Constitution Hill,,,,,,Phibsboro Garage,22:05,
,,,Constitution Hill (Stop #1619),,08:40,,Finish,Duty,,,
23,,,Charlestown SC,,09:30,,,,,,
,,,,,,,,,,,
24,,,Merrion Square,,10:40,,,,,,
,,,,,,,,,,,
24,,,Dublin Airport,,12:20,,,,,,
,,,Broadstone (Stop #190),13:20,,,,,,,
,Duty,452,Takes Bus 15 at 16:20 at Broadstone,,,,,,,,
,,,,,,,,,,,
,Duty,423,Takes up at 13:20 Broadstone,,,,,,,,
,,,Broadstone (Stop #190),,13:20,,,,,,
23,,,Merrion Square,,13:50,,,,,,
,,,,,,,,,,,
23,,,Charlestown SC,,15:10,,,,,,
,,,,,,,,,,,
23,,,Merrion Square,,16:30,,,,,,
,,,Constitution Hill (Stop #1619),17:05,,,,,,,
,Duty,423,Takes Bus 17 at 18:05 at Constitution Hill,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 5,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,405,Reports at 05:17,,,,,,,,
SPL,,,Departs Garage,,05:25,,,,,,
24,,,Dublin Airport,,05:55,,,,,,
,,,,,,,,,,,
23,,,Merrion Square,,07:15,,,,,,
,,,,,,,,,,,
23,,,Charlestown SC,,08:30,,,,,,
,,,,,,,,,,,
23,,,Merrion Square,,09:30,,,,,,
