shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ4/31,007431,12:52:00,13:07:00,PSQW-PE(9),17:00:00,PSQW-PE(9),18:00:00,18:00:00,PSQE-PQ(9),21:20:00,PHIBPI,21:20:00,08:28:00,07:28:00,01:00:00
PZ4/32,007432,13:04:00,13:19:00,PSQW-PE(9),17:05:00,PSQW-PE(9),18:15:00,18:15:00,PSQE-PQ(9),21:30:00,PSQE-PQ(9),21:42:00,08:38:00,07:28:00,01:10:00
PZ4/33,007433,13:18:00,13:33:00,PSQE-PQ(9),17:21:00,PSQE-PQ(9),18:30:00,18:30:00,PSQE-PQ(9),21:50:00,PSQE-PQ(9),22:02:00,08:44:00,07:35:00,01:09:00
PZ4/34,007434,13:21:00,13:36:00,PSQW-PE(9),17:20:00,PSQW-PE(9),18:25:00,18:25:00,PSQW-PE(9),21:40:00,PSQW-PE(9),21:52:00,08:31:00,07:26:00,01:05:00
PZ4/35,007435,13:25:00,13:40:00,PSQE-PQ(9),15:43:00,PSQW-PE(9),17:21:00,17:21:00,PSQE-PQ(9),22:25:00,PHIBPI,22:25:00,09:00:00,07:22:00,01:38:00
PZ4/36,007436,14:32:00,14:35:00,PHIBPO,19:05:00,PSQE-PQ(122),20:20:00,20:20:00,PSQE-PQ(9),00:20:00,PHIBPI,00:20:00,09:48:00,08:33:00,01:15:00
PZ4/37,007437,14:44:00,14:47:00,PHIBPO,19:25:00,PSQE-PQ(122),20:35:00,20:35:00,PSQE-PQ(9),00:35:00,PHIBPI,00:35:00,09:51:00,08:41:00,01:10:00
PZ4/38,007438,14:47:00,14:50:00,PHIBPO,18:30:00,PSQE-PQ(9),19:30:00,19:30:00,PSQW-PD(122),00:15:00,PHIBPI,00:15:00,09:28:00,08:28:00,01:00:00
PZ4/39,007439,14:52:00,15:07:00,PSQW-PE(9),20:20:00,PSQE-PQ(9),21:30:00,21:30:00,PSQE-PQ(9),00:00:00,PHIBPI,00:00:00,09:08:00,07:58:00,01:10:00
PZ4/40,007440,15:00:00,15:15:00,PSQE-PQ(122),18:20:00,PHIBPI,19:28:00,19:40:00,PSQE-PQ(9),00:55:00,PHIBPI,00:55:00,09:55:00,08:47:00,01:08:00
PZ4/41,007441,15:04:00,15:19:00,PSQW-PE(9),20:35:00,PSQE-PQ(9),21:40:00,21:40:00,PSQW-PE(9),00:00:00,PHIBPI,00:00:00,08:56:00,07:51:00,01:05:00
PZ4/42,007442,15:05:00,15:20:00,PSQW-PD(122),18:35:00,PSQW-PD(122),19:45:00,19:45:00,PSQW-PE(9),01:00:00,PHIBPI,01:00:00,09:55:00,08:45:00,01:10:00
PZ4/43,007443,15:22:00,15:25:00,PHIBPO,20:05:00,PSQW-PD(122),21:05:00,21:05:00,PSQW-PE(9),00:35:00,PHIBPI,00:35:00,09:13:00,08:13:00,01:00:00
PZ4/44,007444,15:27:00,15:30:00,PHIBPO,20:25:00,PHIBPI,21:38:00,21:50:00,PSQE-PQ(9),00:15:00,PHIBPI,00:15:00,08:48:00,07:35:00,01:13:00
PZ4/45,007445,15:37:00,15:52:00,PSQE-PQ(9),17:55:00,PSQW-PE(9),18:55:00,18:55:00,PSQW-PD(122),00:15:00,PHIBPI,00:15:00,08:38:00,07:38:00,01:00:00
PZ4/46,007446,15:44:00,15:47:00,PHIBPO,18:55:00,PSQW-PD(122),20:05:00,20:05:00,PSQW-PD(122),00:35:00,PHIBPI,00:35:00,08:51:00,07:41:00,01:10:00
PZ4/47,007447,15:49:00,16:04:00,PSQE-PQ(9),18:25:00,PSQW-PE(9),19:25:00,19:25:00,PSQE-PQ(122),00:20:00,PHIBPI,00:20:00,08:31:00,07:31:00,01:00:00
PZ4/48,007448,16:04:00,16:19:00,PSQW-PE(9),18:00:00,PSQE-PQ(9),19:05:00,19:05:00,PSQE-PQ(122),00:20:00,PHIBPI,00:20:00,08:16:00,07:11:00,01:05:00
PZ4/1X,007451,06:47:00,06:55:00,PHIBPO,08:50:00,PSQW-PE(9),10:43:00,10:43:00,PSQW-PE(9),15:52:00,PSQE-PQ(9),16:04:00,09:17:00,07:24:00,01:53:00
PZ4/2X,007452,06:47:00,06:55:00,PHIBPO,10:50:00,PHIBPI(122),14:37:00,14:40:00,PHIBPO,17:45:00,PSQE-PQ(122),17:57:00,11:10:00,07:23:00,03:47:00
