Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
401,05:02,,Reports at 05:02,,,,,,Duty 401 reports at 05:02
401,,05:10:00,Departs Garage,SPL,Reports at 05:02,Departs Garage,,05:10:00,
401,,,Finglas***,Ghost,Departs Garage,Finglas***,,05:25:00,
401,,,"Finglas Bridge, via Finglas Village, Superquinn",,Finglas***,"Finglas Bridge, via Finglas Village, Superquinn",,,
401,,,"17 Stop via Jamestown Rd, Poppintree, Ballymun,",,"Finglas Bridge, via Finglas Village, Superquinn","17 Stop via Jamestown Rd, Poppintree, Ballymun,",,,Takes Bus 12 (Route 9) at 17:21 psqe
401,,,"Ballymun Rd, Route 9 to O'Connell St,",,"17 Stop via Jamestown Rd, Poppintree, Ballymun,","Ballymun Rd, Route 9 to O'Connell St,",,,
401,,,"via, Western Way, Blessington St, Nth Frederick St,",,"Ballymun Rd, Route 9 to O'Connell St,","via, Western Way, Blessington St, Nth Frederick St,",,,
401,,,"Gt Denmark St, Summerhill, O'Connell St,",,"via, Western Way, Blessington St, Nth Frederick St,","Gt Denmark St, Summerhill, O'Connell St,",,,
401,,,"Meet Bus from Skerries at Dorset St,",,"Gt Denmark St, Summerhill, O'Connell St,","Meet Bus from Skerries at Dorset St,",,,
401,,,"Corner of Gardiner St, then to",,"Meet Bus from Skerries at Dorset St,","Corner of Gardiner St, then to",,,
401,,,Phibsboro Garage,,"Corner of Gardiner St, then to",Phibsboro Garage,,,
401,,06:45:00,Departs Garage,SPL,Phibsboro Garage,Departs Garage,,06:45:00,Duty 401 Finished Duty
401,,,Limekiln,9,Departs Garage,Limekiln,,07:35:00,
401,,,Charlestown,9,Limekiln,Charlestown,,09:24:00,
401,,,PSQE,,Charlestown,PSQE,10:04:00,,
401,,,,,,,,,Duty 401 Finished Duty
402,05:32,,Reports at 05:32,,,,,,Duty 402 reports at 05:32
402,,05:40:00,Departs Garage,SPL,Reports at 05:32,Departs Garage,,05:40:00,
402,,,Limekiln,9,Departs Garage,Limekiln,,06:20:00,
402,,,Charlestown,9,Limekiln,Charlestown,,07:45:00,Takes Bus 2 (Route 122) at 18:55 psqw
402,,,Limekiln,9,Charlestown,Limekiln,,09:48:00,
402,,,PSQW,,Limekiln,PSQW,10:43:00,,
402,,,Takes bus 10 (Route 9) at 11:43 PSQW,,,,,,Takes Bus 10 (Route 9) at 11:43 psqw
402,,,Takes up at PSQW 11:43,,,,,,
402,,,PSQW,,Takes up at PSQW 11:43,PSQW,,11:43:00,
402,,,Charlestown,9,PSQW,Charlestown,,12:36:00,
402,,,PSQE,,Charlestown,PSQE,13:16:00,,
402,,,,,,,,,Duty 402 Finished Duty
403,05:37,,Reports at 05:37,,,,,,Duty 403 reports at 05:37
403,,05:45:00,Departs Garage,SPL,Reports at 05:37,Departs Garage,,05:45:00,
403,,,Plunkett Road***,Ghost,Departs Garage,Plunkett Road***,,06:13:00,
403,,,"From Plunkett Rd. to Mellows Rd., Superquinn",,Plunkett Road***,"From Plunkett Rd. to Mellows Rd., Superquinn",,,
403,,,"Finglas Village, left to Jamestown Rd., then",,"From Plunkett Rd. to Mellows Rd., Superquinn","Finglas Village, left to Jamestown Rd., then",,,
403,,,"normal route to D'Olier St, left to Townsend St.",,"Finglas Village, left to Jamestown Rd., then","normal route to D'Olier St, left to Townsend St.",,,
403,,,to Ringsend Garage,,"normal route to D'Olier St, left to Townsend St.",to Ringsend Garage,,,Duty 403 Finished Duty
403,,,Ringsend Garage,,to Ringsend Garage,Ringsend Garage,,06:55:00,
403,,,,SPL,,,,,
403,,,Charlestown,9,Ringsend Garage,Charlestown,,07:55:00,
403,,,Limekiln,9,Charlestown,Limekiln,,10:00:00,
403,,,PSQW,,Limekiln,PSQW,10:55:00,,
403,,,,,,,,,Duty 403 Finished Duty
403,,,,,,,,,Duty 403 Finished Duty
404,05:42,,Reports at 05:42,,,,,,Duty 404 reports at 05:42
404,,05:50:00,Departs Garage,SPL,Reports at 05:42,Departs Garage,,05:50:00,
404,,,Limekiln,9,Departs Garage,Limekiln,,06:35:00,
404,,,Charlestown,9,Limekiln,Charlestown,,08:05:00,
404,,,Limekiln,9,Charlestown,Limekiln,,10:12:00,
404,,,PSQW,,Limekiln,PSQW,11:07:00,,
404,,,,,,,,,Duty 404 Finished Duty
405,05:44,,Reports at 05:44,,,,,,Duty 405 reports at 05:44
405,,05:52:00,Departs Garage,SPL,Reports at 05:44,Departs Garage,,05:52:00,
405,,,Charlestown,9,Departs Garage,Charlestown,,06:25:00,
405,,,Limekiln,9,Charlestown,Limekiln,,07:55:00,
405,,,PSQW,,Limekiln,PSQW,09:05:00,,
405,,,Takes bus 11 (Route 9) at 10:05 PSQW,,,,,,Takes Bus 11 (Route 9) at 10:05 psqw
405,,,Takes up at PSQW 10:05,,,,,,
405,,,PSQW,,Takes up at PSQW 10:05,PSQW,,10:05:00,
405,,,Charlestown,9,PSQW,Charlestown,,10:48:00,
405,,,Limekiln,9,Charlestown,Limekiln,,12:36:00,
405,,,PSQW,,Limekiln,PSQW,13:36:00,,
405,,,,,,,,,Duty 405 Finished Duty
406,05:47,,Reports at 05:47,,,,,,Duty 406 reports at 05:47
406,,05:55:00,Departs Garage,SPL,Reports at 05:47,Departs Garage,,05:55:00,
406,,,Ashington,122,Departs Garage,Ashington,,06:15:00,
406,,,Drimnagh,122,Ashington,Drimnagh,,07:40:00,
406,,,PSQW,,Drimnagh,PSQW,08:35:00,,
406,,,Takes bus 9 (Route 122) at 09:35 PSQW,,,,,,Takes Bus 9 (Route 122) at 09:35 psqw
406,,,Takes up at PSQW 09:35,,,,,,
406,,,PSQW,,Takes up at PSQW 09:35,PSQW,,09:35:00,
406,,,Ashington,122,PSQW,Ashington,,10:20:00,
406,,,Drimnagh,122,Ashington,Drimnagh,,11:50:00,
406,,,PSQW,,Drimnagh,PSQW,12:40:00,,
406,,,,,,,,,Duty 406 Finished Duty
407,,,Takes up at PSQE 11:04,,,,,,
407,,,PSQE,,Takes up at PSQE 11:04,PSQE,,11:04:00,
407,,,Limekiln,9,PSQE,Limekiln,,12:12:00,
407,,,PSQW,,Limekiln,PSQW,13:07:00,,
407,,,,,,,,,Duty 407 Finished Duty
407,05:52,,Reports at 05:52,,,,,,Duty 407 reports at 05:52
407,,06:00:00,Departs Garage,SPL,Reports at 05:52,Departs Garage,,06:00:00,
407,,,Ashington,122,Departs Garage,Ashington,,06:30:00,
407,,,Drimnagh,122,Ashington,Drimnagh,,07:50:00,
