shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ1/01,007001,04:12:00,04:20:00,GARAGE,nan,nan,nan,nan,nan,09:07:00,C1/C2-ASTONQ,09:27:00,05:15:00,05:15:00,00:00:00
PZ1/02,007002,04:21:00,04:29:00,GARAGE,nan,nan,nan,nan,nan,08:55:00,39A-BWALK,09:15:00,04:54:00,04:54:00,00:00:00
PZ1/03,007003,04:22:00,04:30:00,GARAGE,08:30:00,39A-ASTONQ,09:50:00,09:50:00,39A-ASTONQ,12:05:00,39A-BWALK,12:25:00,08:03:00,06:43:00,01:20:00
PZ1/04,007004,04:34:00,04:42:00,GARAGE,nan,nan,nan,nan,nan,10:07:00,C1/C2-BWALK,10:27:00,05:53:00,05:53:00,00:00:00
PZ1/05,007005,04:41:00,04:49:00,GARAGE,nan,nan,nan,nan,nan,10:02:00,C1/C2-ASTONQ,10:22:00,05:41:00,05:41:00,00:00:00
PZ1/06,007006,04:51:00,04:59:00,GARAGE,09:15:00,39A-BWALK,10:40:00,10:40:00,39A-BWALK,12:05:00,39A-ASTONQ,12:25:00,07:34:00,06:09:00,01:25:00
PZ1/07,007007,04:52:00,05:00:00,GARAGE,09:05:00,39A-ASTONQ,10:02:00,10:02:00,C1/C2-ASTONQ,12:02:00,C1/C2-BWALK,12:22:00,07:30:00,06:33:00,00:57:00
PZ1/08,007008,05:05:00,05:13:00,GARAGE,nan,nan,nan,nan,nan,10:42:00,C1/C2-BWALK,11:02:00,05:57:00,05:57:00,00:00:00
PZ1/09,007009,05:21:00,05:29:00,GARAGE,nan,nan,nan,nan,nan,09:55:00,39A-BWALK,10:15:00,04:54:00,04:54:00,00:00:00
PZ1/10,007010,05:22:00,05:30:00,GARAGE,nan,nan,nan,nan,nan,09:50:00,39A-ASTONQ,10:10:00,04:48:00,04:48:00,00:00:00
PZ1/11,007011,06:28:00,06:36:00,GARAGE,09:13:00,C1/C2-BWALK,10:23:00,10:23:00,C1/C2-BWALK,14:49:00,C1/C2-ASTONQ,15:09:00,08:41:00,07:31:00,01:10:00
PZ1/12,007012,06:58:00,07:06:00,GARAGE,nan,nan,nan,nan,nan,12:35:00.000-,C1/C2-ASTONQ,12:55:00,05:57:00,05:57:00,00:00:00
PZ1/13,007013,07:24:00,07:32:00,GARAGE,10:07:00,39-ASTONQ,11:05:00,11:05:00,39A-ASTONQ,15:05:00,39A-ASTONQ,15:25:00,08:01:00,07:03:00,00:58:00
PZ1/14,007014,07:28:00,07:36:00,GARAGE,10:23:00,C1/C2-BWALK,11:20:00,11:20:00,39A-ASTONQ,15:20:00,39A-ASTONQ,15:40:00,08:12:00,07:15:00,00:57:00
PZ1/15,007015,07:37:00,07:45:00,GARAGE,11:05:00,39A-BWALK,12:22:00,12:22:00,39-ASTONQ,15:37:00,39-BWALK,15:57:00,08:20:00,07:03:00,01:17:00
PZ1/16,007016,07:44:00,07:52:00,GARAGE,13:07:00,39-BWALK,14:10:00,14:10:00,39A-BWALK,15:35:00,39A-ASTONQ,15:55:00,08:11:00,07:08:00,01:03:00
PZ1/17,007017,07:52:00,08:00:00,GARAGE,11:05:00,39A-ASTONQ,12:05:00,12:05:00,39A-BWALK,15:40:00,GARAGE,15:40:00,07:48:00,06:48:00,01:00:00
PZ1/18,007018,07:59:00,08:07:00,GARAGE,12:52:00,39-ASTONQ,13:47:00,13:47:00,39-BWALK,14:57:00,39-ASTONQ,15:17:00,07:18:00,06:23:00,00:55:00
PZ1/19,007019,07:59:00,08:07:00,GARAGE,nan,nan,nan,nan,nan,12:45:00,C1/C2-BWALK,13:05:00,05:06:00,05:06:00,00:00:00
PZ1/20,007020,08:07:00,08:30:00,39A-ASTONQ,10:40:00,39A-BWALK,11:49:00,12:12:00,GARAGE,15:27:00,39-ASTONQ,15:47:00,07:40:00,06:31:00,01:09:00
PZ1/21,007021,08:12:00,08:20:00,GARAGE,nan,nan,nan,nan,nan,12:50:00,39A-ASTONQ,13:10:00,04:58:00,04:58:00,00:00:00
PZ1/22,007022,08:14:00,08:22:00,GARAGE,nan,nan,nan,nan,nan,13:47:00,39-BWALK,14:07:00,05:53:00,05:53:00,00:00:00
PZ1/23,007023,08:29:00,08:37:00,GARAGE,nan,nan,nan,nan,nan,13:27:00,39-ASTONQ,13:47:00,05:18:00,05:18:00,00:00:00
PZ1/24,007024,08:32:00,08:55:00,39A-BWALK,nan,nan,nan,nan,nan,14:05:00,39A-ASTONQ,14:25:00,05:53:00,05:53:00,00:00:00
PZ1/25,007025,08:32:00,08:40:00,GARAGE,nan,nan,nan,nan,nan,14:10:00,39A-BWALK,14:30:00,05:58:00,05:58:00,00:00:00
