shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ1/26,007026,11:32:00,11:40:00,GARAGE,14:50:00,39A-ASTONQ,16:39:00,16:39:00,C1/C2-BWALK,21:09:00,C1/C2-ASTONQ,21:29:00,09:57:00,08:08:00,01:49:00
PZ1/27,007027,11:39:00,12:02:00,39-ASTONQ,16:22:00,39-ASTONQ,17:25:00,17:25:00,39A-BWALK,21:10:00,39A-BWALK,21:30:00,09:51:00,08:48:00,01:03:00
PZ1/28,007028,11:42:00,12:05:00,39A-ASTONQ,16:05:00,39A-ASTONQ,17:20:00,17:20:00,39A-ASTONQ,21:00:00,39A-ASTONQ,21:20:00,09:38:00,08:23:00,01:15:00
PZ1/29,007029,12:01:00,12:09:00,GARAGE,15:25:00,C1/C2-BWALK,16:42:00,16:42:00,39-BWALK,21:55:00,GARAGE,21:55:00,09:54:00,08:37:00,01:17:00
PZ1/30,007030,12:03:00,12:26:00,C1/C2-BWALK,15:46:00,C1/C2-BWALK,16:50:00,16:50:00,39A-BWALK,20:42:00,39A-BWALK,21:02:00,08:59:00,07:55:00,01:04:00
PZ1/31,007031,12:12:00,12:35:00,39A-ASTONQ,16:50:00,39A-ASTONQ,18:05:00,18:05:00,39A-ASTONQ,21:40:00,39A-ASTONQ,22:00:00,09:48:00,08:33:00,01:15:00
PZ1/32,007032,12:12:00,12:35:00,C1/C2-ASTONQ,16:13:00,C1/C2-ASTONQ,17:26:00,17:26:00,C1/C2-ASTONQ,22:10:00,GARAGE,22:10:00,09:58:00,08:45:00,01:13:00
PZ1/33,007033,12:17:00,12:25:00,GARAGE,16:10:00,39A-BWALK,17:05:00,17:05:00,39A-BWALK,20:55:00,39A-BWALK,21:15:00,08:58:00,08:03:00,00:55:00
PZ1/34,007034,12:17:00,12:25:00,GARAGE,17:35:00,C1/C2-BWALK,19:20:00,19:20:00,39A-BWALK,22:10:00,GARAGE,22:10:00,09:53:00,08:08:00,01:45:00
PZ1/35,007035,12:22:00,12:45:00,C1/C2-BWALK,17:26:00,C1/C2-ASTONQ,18:50:00,18:50:00,39A-BWALK,22:00:00,GARAGE,22:00:00,09:38:00,08:14:00,01:24:00
PZ1/36,007036,12:27:00,12:50:00,39A-ASTONQ,17:05:00,39A-ASTONQ,18:05:00,18:05:00,39A-BWALK,21:45:00,39A-BWALK,22:05:00,09:38:00,08:38:00,01:00:00
PZ1/37,007037,12:29:00,12:52:00,39-ASTONQ,17:22:00,39-ASTONQ,18:32:00,18:32:00,39-BWALK,21:47:00,39-BWALK,22:07:00,09:38:00,08:28:00,01:10:00
PZ1/38,007038,12:36:00,12:44:00,GARAGE,15:57:00,C1/C2-BWALK,17:22:00,17:22:00,39-ASTONQ,21:22:00,39-ASTONQ,21:42:00,09:06:00,07:41:00,01:25:00
PZ1/39,007039,12:57:00,13:20:00,C1/C2-BWALK,16:39:00,C1/C2-BWALK,17:50:00,17:50:00,39A-ASTONQ,21:25:00,39A-ASTONQ,21:45:00,08:48:00,07:37:00,01:11:00
PZ1/40,007040,13:12:00,13:20:00,GARAGE,16:35:00,39A-ASTONQ,17:35:00,17:35:00,C1/C2-BWALK,22:10:00,GARAGE,22:10:00,08:58:00,07:58:00,01:00:00
PZ1/41,007041,14:32:00,14:55:00,39A-BWALK,18:50:00,39A-BWALK,19:55:00,19:55:00,39A-BWALK,00:25:00,GARAGE,00:25:00,09:53:00,08:48:00,01:05:00
PZ1/42,007042,14:34:00,14:57:00,39-ASTONQ,18:52:00,39-ASTONQ,19:57:00,19:57:00,39-ASTONQ,00:10:00,GARAGE,00:10:00,09:36:00,08:31:00,01:05:00
PZ1/43,007043,14:42:00,15:05:00,39A-ASTONQ,19:05:00,39A-ASTONQ,20:21:00,20:21:00,C1/C2-ASTONQ,23:15:00,GARAGE,23:15:00,08:33:00,07:17:00,01:16:00
PZ1/44,007044,14:44:00,15:07:00,C1/C2-ASTONQ,18:21:00,C1/C2-ASTONQ,19:21:00,19:21:00,C1/C2-ASTONQ,23:44:00,GARAGE,23:44:00,09:00:00,08:00:00,01:00:00
PZ1/45,007045,15:02:00,15:25:00,C1/C2-ASTONQ,18:39:00,C1/C2-ASTONQ,20:06:00,20:06:00,C1/C2-ASTONQ,00:35:00,GARAGE,00:35:00,09:33:00,08:06:00,01:27:00
PZ1/46,007046,14:57:00,15:20:00,39A-ASTONQ,19:20:00,39A-ASTONQ,20:23:00,20:23:00,C1/C2-BWALK,00:15:00,GARAGE,00:15:00,09:18:00,08:15:00,01:03:00
PZ1/47,007047,15:04:00,15:27:00,39-ASTONQ,18:32:00,39-BWALK,19:45:00,19:45:00,39A-ASTONQ,00:50:00,GARAGE,00:50:00,09:46:00,08:33:00,01:13:00
PZ1/48,007048,15:12:00,15:35:00,39A-ASTONQ,18:05:00,39A-BWALK,19:20:00,19:20:00,39A-ASTONQ,00:12:00,GARAGE,00:12:00,09:00:00,07:45:00,01:15:00
PZ1/49,007049,15:14:00,15:37:00,39-BWALK,19:57:00,39-BWALK,20:55:00,20:55:00,39A-BWALK,23:55:00,GARAGE,23:55:00,08:41:00,07:43:00,00:58:00
PZ1/50,007050,15:23:00,15:46:00,C1/C2-BWALK,20:06:00,C1/C2-ASTONQ,21:09:00,21:09:00,C1/C2-ASTONQ,23:45:00,GARAGE,23:45:00,08:22:00,07:19:00,01:03:00
PZ1/51,007051,15:27:00,15:50:00,39A-ASTONQ,19:45:00,39A-ASTONQ,20:42:00,20:42:00,39A-BWALK,01:00:00,GARAGE,01:00:00,09:33:00,08:36:00,00:57:00
PZ1/52,007052,15:29:00,15:52:00,39-ASTONQ,18:57:00,39-BWALK,19:52:00,19:52:00,39-ASTONQ,00:25:00,GARAGE,00:25:00,08:56:00,08:01:00,00:55:00
PZ1/53,007053,15:34:00,15:57:00,C1/C2-BWALK,20:21:00,C1/C2-ASTONQ,21:25:00,21:25:00,39A-ASTONQ,00:30:00,GARAGE,00:30:00,08:56:00,07:52:00,01:04:00
PZ1/54,007054,15:50:00,16:13:00,C1/C2-ASTONQ,19:21:00,C1/C2-ASTONQ,20:22:00,20:22:00,39-ASTONQ,00:45:00,GARAGE,00:45:00,08:55:00,07:54:00,01:01:00
PZ1/55,007055,15:59:00,16:22:00,39-ASTONQ,20:22:00,39-ASTONQ,21:47:00,21:47:00,39-BWALK,00:55:00,GARAGE,00:55:00,08:56:00,07:31:00,01:25:00
PZ1/56,007056,16:12:00,16:35:00,39A-ASTONQ,20:15:00,39A-ASTONQ,21:10:00,21:10:00,39A-BWALK,01:10:00,GARAGE,01:10:00,08:58:00,08:03:00,00:55:00
PZ1/57,007057,16:27:00,16:50:00,39A-ASTONQ,19:20:00,39A-BWALK,20:15:00,20:15:00,39A-ASTONQ,01:00:00,GARAGE,01:00:00,08:33:00,07:38:00,00:55:00
PZ1/1X,007151,08:42:00,09:05:00,39A-ASTONQ,12:35:00,39A-ASTONQ,13:52:00,13:52:00,39-ASTONQ,18:27:00,GARAGE,18:27:00,09:45:00,08:28:00,01:17:00
PZ1/2X,007152,08:49:00,08:57:00,GARAGE,12:02:00,39-ASTONQ,13:05:00,13:05:00,39A-ASTONQ,17:20:00,39A-ASTONQ,17:40:00,08:51:00,07:48:00,01:03:00
PZ1/3X,007153,08:44:00,09:07:00,C1/C2-ASTONQ,10:57:00,C1/C2-BWALK,12:02:00,12:02:00,C1/C2-BWALK,16:43:00,GARAGE,16:43:00,07:59:00,06:54:00,01:05:00
PZ1/4X,007154,08:50:00,09:13:00,C1/C2-BWALK,13:24:00,C1/C2-ASTONQ,14:35:00,14:35:00,39A-ASTONQ,17:05:00,39A-BWALK,17:25:00,08:35:00,07:24:00,01:11:00
PZ1/5X,007155,08:52:00,09:15:00,39A-BWALK,12:55:00,39A-BWALK,13:50:00,13:50:00,39A-ASTONQ,17:50:00,39A-ASTONQ,18:10:00,09:18:00,08:23:00,00:55:00
PZ1/6X,007156,09:14:00,09:22:00,GARAGE,12:22:00,39-ASTONQ,13:24:00,13:24:00,C1/C2-ASTONQ,16:35:00,GARAGE,16:35:00,07:21:00,06:19:00,01:02:00
PZ1/7X,007157,09:27:00,09:35:00,GARAGE,14:35:00,39A-ASTONQ,18:57:00,18:57:00,39-BWALK,19:52:00,39-ASTONQ,20:12:00,10:45:00,06:23:00,04:22:00
PZ1/8X,007158,09:29:00,09:37:00,GARAGE,12:26:00,C1/C2-BWALK,13:27:00,13:27:00,39-ASTONQ,16:42:00,39-BWALK,17:02:00,07:33:00,06:32:00,01:01:00
PZ1/9X,007159,09:32:00,09:55:00,39A-BWALK,11:20:00,39A-ASTONQ,12:55:00,12:55:00,39A-BWALK,16:50:00,39A-BWALK,17:10:00,07:38:00,06:03:00,01:35:00
PZ1/10X,007160,09:44:00,10:07:00,39-ASTONQ,13:52:00,39-ASTONQ,14:50:00,14:50:00,39A-ASTONQ,17:25:00,39A-BWALK,17:45:00,08:01:00,07:03:00,00:58:00
PZ1/11X,007161,09:44:00,10:07:00,C1/C2-BWALK,13:20:00,C1/C2-BWALK,14:37:00,14:37:00,39-BWALK,15:52:00,39-ASTONQ,16:12:00,06:28:00,05:11:00,01:17:00
PZ1/12X,007162,09:57:00,10:05:00,GARAGE,13:05:00,39A-ASTONQ,14:05:00,14:05:00,39A-ASTONQ,18:05:00,39A-ASTONQ,18:25:00,08:28:00,07:28:00,01:00:00
PZ1/13X,007163,10:19:00,10:42:00,C1/C2-BWALK,15:07:00,C1/C2-ASTONQ,16:05:00,16:05:00,39A-ASTONQ,20:00:00,GARAGE,20:00:00,09:41:00,08:43:00,00:58:00
PZ1/14X,007164,10:26:00,10:34:00,GARAGE,13:50:00,39A-ASTONQ,14:49:00,14:49:00,C1/C2-ASTONQ,19:53:00,GARAGE,19:53:00,09:27:00,08:28:00,00:59:00
PZ1/15X,007165,10:27:00,10:35:00,GARAGE,11:50:00,39A-ASTONQ,13:07:00,13:07:00,39-BWALK,17:32:00,39-BWALK,17:52:00,07:25:00,06:08:00,01:17:00
PZ1/16X,007166,10:29:00,10:37:00,GARAGE,14:37:00,39-BWALK,18:21:00,18:21:00,C1/C2-ASTONQ,20:23:00,C1/C2-BWALK,20:43:00,10:14:00,06:30:00,03:44:00
PZ1/17X,007167,10:34:00,10:57:00,C1/C2-BWALK,14:16:00,GARAGE,17:12:00,17:32:00,39-BWALK,20:47:00,GARAGE,20:47:00,10:13:00,07:17:00,02:56:00
PZ1/18X,007168,10:42:00,11:05:00,39A-BWALK,14:55:00,39A-BWALK,16:10:00,16:10:00,39A-BWALK,19:55:00,39A-BWALK,20:15:00,09:33:00,08:18:00,01:15:00
PZ1/19X,007169,11:27:00,11:50:00,39A-ASTONQ,15:50:00,39A-ASTONQ,17:05:00,17:05:00,39A-ASTONQ,20:45:00,39A-ASTONQ,21:05:00,09:38:00,08:23:00,01:15:00
PZ1/91,007091,18:16:00,18:39:00,C1/C2-ASTONQ,23:15:00,GARAGE,00:27:00,00:30:00,GARAGE,03:10:00,39A-BWALK,03:30:00,09:14:00,08:02:00,01:12:00
PZ1/92,007092,18:29:00,18:52:00,39-ASTONQ,23:25:00,GARAGE,00:27:00,00:30:00,GARAGE,02:55:00,39A-ASTONQ,03:15:00,08:46:00,07:44:00,01:02:00
PZ1/93,007093,18:42:00,19:05:00,39A-ASTONQ,22:40:00,GARAGE,23:57:00,00:00:00,GARAGE,02:25:00,39A-ASTONQ,02:45:00,08:03:00,06:46:00,01:17:00
PZ1/94,007095,20:22:00,20:45:00,39A-ASTONQ,nan,nan,nan,nan,nan,01:30:00,GARAGE,01:30:00,05:08:00,05:08:00,00:00:00
PZ1/95,007096,20:37:00,21:00:00,39A-ASTONQ,nan,nan,nan,nan,nan,02:00:00,GARAGE,02:00:00,05:23:00,05:23:00,00:00:00
PZ1/96,007097,20:59:00,21:22:00,39-ASTONQ,00:42:00,GARAGE,01:35:00,01:55:00,39A-ASTONQ,06:30:00,GARAGE,06:30:00,09:31:00,08:38:00,00:53:00
PZ1/97,007098,21:07:00,21:10:00,GARAGE,01:15:00,GARAGE,02:50:00,03:10:00,39A-BWALK,06:00:00,GARAGE,06:00:00,08:53:00,07:18:00,01:35:00
PZ1/98,007099,21:17:00,21:40:00,39A-ASTONQ,00:45:00,GARAGE,02:05:00,02:25:00,39A-ASTONQ,05:30:00,GARAGE,05:30:00,08:13:00,06:53:00,01:20:00
PZ1/99,007094,21:22:00,21:45:00,39A-BWALK,01:55:00,39A-ASTONQ,02:55:00,02:55:00,39A-ASTONQ,05:45:00,GARAGE,05:45:00,08:23:00,07:23:00,01:00:00
PZ1/100,007100,23:57:00,00:00:00,GARAGE,nan,nan,nan,nan,nan,05:30:00,GARAGE,05:30:00,05:33:00,05:33:00,00:00:00
PZ1/101,007101,00:57:00,01:00:00,GARAGE,nan,nan,nan,nan,nan,06:30:00,GARAGE,06:30:00,05:33:00,05:33:00,00:00:00
