Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
412,,07:10:00,Departs garage,SPL,Reports at 07:02,Departs garage,,07:10:00,
412,,,Ashington,122,Departs garage,Ashington,,07:35:00,
412,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,08:45:00,
412,,,Ashington,122,Drimnagh Rd,Ashington,,09:55:00,
412,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,11:25:00,Takes Bus 1 (Route 9) at 21:05 psqw
412,,,PSQW,nan,Drimnagh Rd,PSQW,12:15:00,,
412,,,,nan,,,,,Duty 412 Finished Duty
413,07:02,,Reports at 07:02,nan,,,,,Duty 413 reports at 07:02
413,,07:10:00,Departs garage,SPL,Reports at 07:02,Departs garage,,07:10:00,
413,,,Charlestown,9,Departs garage,Charlestown,,07:40:00,
413,,,Limekiln,9,Charlestown,Limekiln,,08:50:00,
413,,,Charlestown,9,Limekiln,Charlestown,,10:30:00,
413,,,PSQE,nan,Charlestown,PSQE,11:05:00,,
413,,,Takes Bus 5 (Route 122) at 12:15 PSQW,nan,,,,,Duty 413 Finished Duty
413,,,Takes up at 12:15 PSQW,nan,,,,,
413,,,PSQW,nan,Takes up at 12:15 PSQW,PSQW,,12:15:00,
413,,,Ashington,122,PSQW,Ashington,,12:55:00,
413,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,14:25:00,
413,,,PSQW,nan,Drimnagh Rd,PSQW,15:20:00,,
413,,,,nan,,,,,Duty 413 Finished Duty
413,,,Phibsboro,ROUTE 122,PSQW,Phibsboro,,,
414,,,Takes up at 13:35 PSQW,nan,,,,,
414,,,PSQW,nan,Takes up at 13:35 PSQW,PSQW,,13:35:00,
414,,,Charlestown,9,PSQW,Charlestown,,14:30:00,
414,,,PSQE,nan,Charlestown,PSQE,15:15:00,,
414,,,,nan,,,,,Duty 414 Finished Duty
414,,,Phibsboro,ROUTE 9,PSQE,Phibsboro,,,
414,07:07,,Reports at 07:07,nan,,,,,Duty 414 reports at 07:07
414,,07:15:00,Departs garage,SPL,Reports at 07:07,Departs garage,,07:15:00,
414,,,Drimnagh Rd,122,Departs garage,Drimnagh Rd,,07:45:00,
414,,,Ashington,122,Drimnagh Rd,Ashington,,08:55:00,
414,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,10:05:00,
414,,,Ashington,122,Drimnagh Rd,Ashington,,11:35:00,Duty 414 Finished Duty
414,,,PSQE,nan,Ashington,PSQE,12:10:00,,
414,,,Takes Bus 10 (Route 9) at 13:35 PSQW,nan,,,,,Takes Bus 10 (Route 9) at 13:35 psqw
415,07:22,,Reports at 07:22,nan,,,,,Duty 415 reports at 07:22
415,,07:30:00,Departs garage,SPL,Reports at 07:22,Departs garage,,07:30:00,
415,,,Ashington,122,Departs garage,Ashington,,07:55:00,
415,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,09:05:00,
415,,,Ashington,122,Drimnagh Rd,Ashington,,10:35:00,
415,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,12:05:00,Takes Bus 15 (Route 9) at 21:35 psqe
415,,,PSQW,nan,Drimnagh Rd,PSQW,12:55:00,,
415,,,,nan,,,,,Duty 415 Finished Duty
416,,,Takes up at 12:40 PSQE,nan,,,,,Duty 416 takes up at 12:40 psqe
416,,,PSQE,nan,Takes up at 12:40 PSQE,PSQE,,12:40:00,
416,,,Limekiln,9,PSQE,Limekiln,,13:45:00,
416,,,Charlestown,9,Limekiln,Charlestown,,15:45:00,
416,,,PSQE,nan,Charlestown,PSQE,16:25:00,,
416,07:22,,Reports at 07:22,nan,,,,,Duty 416 reports at 07:22
416,,07:30:00,Departs garage,SPL,Reports at 07:22,Departs garage,,07:30:00,
416,,,Charlestown,9,Departs garage,Charlestown,,08:00:00,
416,,,Limekiln,9,Charlestown,Limekiln,,09:30:00,
416,,,Charlestown,9,Limekiln,Charlestown,,11:00:00,Takes Bus 2 (Route 9) at 20:15 psqe
416,,,PSQE,nan,Charlestown,PSQE,11:40:00,,
416,,,Takes Bus 3 (Route 9) at 12:40 PSQE,nan,,,,,Takes Bus 3 (Route 9) at 12:40 psqe
417,08:22,,Reports at 08:22,nan,,,,,Duty 417 reports at 08:22
417,,08:30:00,Departs garage,SPL,Reports at 08:22,Departs garage,,08:30:00,
417,,,Limekiln,9,Departs garage,Limekiln,,09:10:00,
417,,,Charlestown,9,Limekiln,Charlestown,,10:45:00,
417,,,Limekiln,9,Charlestown,Limekiln,,12:30:00,Duty 417 Finished Duty
417,,,PSQW,nan,Limekiln,PSQW,13:35:00,,
417,,,,nan,,,,,Duty 417 Finished Duty
418,,,Takes up at 11:30 PSQE,nan,,,,,
418,,,PSQE,nan,Takes up at 11:30 PSQE,PSQE,,11:30:00,
418,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,12:25:00,
418,,,Ashington,122,Drimnagh Rd,Ashington,,13:55:00,
418,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,15:25:00,
418,,,PSQW,nan,Drimnagh Rd,PSQW,16:15:00,,
418,,,Takes Bus 4 (Route 9) at 17:40 PSQE,nan,,,,,Takes Bus 4 (Route 9) at 17:40 psqe
418,,,Phibsboro,ROUTE 122,Takes Bus 4 (Route 9) at 17:40 PSQE,Phibsboro,,,
419,,,Takes up at 11:40 PSQE,nan,,,,,
419,,,PSQE,nan,Takes up at 11:40 PSQE,PSQE,,11:40:00,
419,,,Limekiln,9,PSQE,Limekiln,,12:45:00,
419,,,Charlestown,9,Limekiln,Charlestown,,14:45:00,
419,,,PSQE,nan,Charlestown,PSQE,15:30:00,,
419,,,Takes Bus 6 (Route 122) at 17:05 PSQW,nan,,,,,Takes Bus 6 (Route 122) at 17:05 psqw
419,,,,nan,,,,,Duty 419 Finished Duty
419,,,Phibsboro,ROUTE 9,Takes Bus 6 (Route 122) at 17:05 PSQW,Phibsboro,,,
419,,,Takes up at 17:05 PSQW,nan,,,,,Duty 419 takes up at 17:05 psqw
419,,,PSQW,nan,Takes up at 17:05 PSQW,PSQW,,17:05:00,
419,,,Ashington,122,PSQW,Ashington,,17:55:00,
419,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,19:15:00,
419,,,Ashington,SPL,Drimnagh Rd,Ashington,20:55:00,,
419,,,Phibsboro Garage,nan,Ashington,Phibsboro Garage,21:15:00,,
419,,,,nan,,,,,Duty 419 Finished Duty
420,,,Takes up at 11:45 PSQW,nan,,,,,
420,,,PSQW,nan,Takes up at 11:45 PSQW,PSQW,,11:45:00,
420,,,Charlestown,9,PSQW,Charlestown,,12:30:00,
420,,,Limekiln,9,Charlestown,Limekiln,,14:15:00,
420,,,Charlestown,SPL,Limekiln,Charlestown,16:10:00,,
420,,,Phibsboro Garage,nan,Charlestown,Phibsboro Garage,16:40:00,,
420,,,Takes Bus 4 (Route 122) at 18:05 PSQE,nan,,,,,Takes Bus 4 (Route 122) at 18:05 psqe
420,,,Phibsboro,ROUTE 9,Takes Bus 4 (Route 122) at 18:05 PSQE,Phibsboro,,,
421,,,Takes up at 16:00 PSQE,nan,,,,,Duty 421 takes up at 16:00 psqe
421,,,PSQE,nan,Takes up at 16:00 PSQE,PSQE,,16:00:00,
421,,,Limekiln,9,PSQE,Limekiln,,17:00:00,
421,,,Charlestown,9,Limekiln,Charlestown,,18:40:00,
421,,,Limekiln,9,Charlestown,Limekiln,,20:15:00,
421,,,PSQW,nan,Limekiln,PSQW,21:05:00,,
421,,,,nan,,,,,Duty 421 Finished Duty
421,,,Takes up at 11:50 PSQE,nan,,,,,
421,,,PSQE,nan,Takes up at 11:50 PSQE,PSQE,,11:50:00,Duty 421 Finished Duty
421,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,12:45:00,
421,,,Ashington,122,Drimnagh Rd,Ashington,,14:15:00,
421,,,PSQE,nan,Ashington,PSQE,14:50:00,,
421,,,Takes Bus 1 (Route 9) at 16:00 PSQE,nan,,,,,Takes Bus 1 (Route 9) at 16:00 psqe
421,,,,nan,,,,,Duty 421 Finished Duty
421,,,Phibsboro,ROUTE 122,Takes Bus 1 (Route 9) at 16:00 PSQE,Phibsboro,,,
422,,,Takes up at 12:10 PSQE,nan,,,,,
422,,,PSQE,nan,Takes up at 12:10 PSQE,PSQE,,12:10:00,
422,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,13:05:00,
422,,,Ashington,122,Drimnagh Rd,Ashington,,14:35:00,
422,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,16:15:00,
422,,,PSQW,nan,Drimnagh Rd,PSQW,17:05:00,,
422,,,Takes Bus 10 (Route 9) at 18:40 PSQE,nan,,,,,Takes Bus 10 (Route 9) at 18:40 psqe
422,,,Phibsboro,ROUTE 122,Takes Bus 10 (Route 9) at 18:40 PSQE,Phibsboro,,,
423,,,Takes up at 17:10 PSQE,nan,,,,,
423,,,PSQE,nan,Takes up at 17:10 PSQE,PSQE,,17:10:00,
423,,,Limekiln,9,PSQE,Limekiln,,18:15:00,
423,,,Charlestown,9,Limekiln,Charlestown,,20:00:00,
423,,,Limekiln,SPL,Charlestown,Limekiln,21:35:00,,
423,,,Phibsboro Garage,nan,Limekiln,Phibsboro Garage,22:05:00,,
423,,,,nan,,,,,Duty 423 Finished Duty
423,,,Phibsboro,ROUTE 9,Phibsboro Garage,Phibsboro,,,
423,,,Takes up at 12:35 PSQE,nan,,,,,
423,,,PSQE,nan,Takes up at 12:35 PSQE,PSQE,,12:35:00,
423,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,13:25:00,
423,,,Ashington,122,Drimnagh Rd,Ashington,,14:55:00,
423,,,PSQE,nan,Ashington,PSQE,15:30:00,,
423,,,Takes Bus 14 (Route 9) at 17:10 PSQE,nan,,,,,Duty 423 Finished Duty
423,,,Phibsboro,ROUTE 122,Takes Bus 14 (Route 9) at 17:10 PSQE,Phibsboro,,,
424,,,Takes up at 18:40 PSQW,nan,,,,,Duty 424 takes up at 18:40 psqw
424,,,PSQW,nan,Takes up at 18:40 PSQW,PSQW,,18:40:00,
424,,,Charlestown,9,PSQW,Charlestown,,19:20:00,
424,,,Limekiln,SPL,Charlestown,Limekiln,20:55:00,,
424,,,Phibsboro Garage,nan,Limekiln,Phibsboro Garage,21:25:00,,
424,12:27,,Reports at 12:27,nan,,,,,Duty 424 reports at 12:27
424,,12:30:00,Departs garage,SPL,Reports at 12:27,Departs garage,,12:30:00,
424,,,Charlestown,9,Departs garage,Charlestown,,13:00:00,
424,,,Limekiln,9,Charlestown,Limekiln,,14:45:00,
424,,,Charlestown,9,Limekiln,Charlestown,,16:30:00,
424,,,PSQE,nan,Charlestown,PSQE,17:10:00,,
424,,,Takes Bus 5 (Route 9) at 18:40 PSQW,nan,,,,,Takes Bus 5 (Route 9) at 18:40 psqw
425,,,Takes up at 12:45 PSQW,nan,,,,,Duty 425 takes up at 12:45 psqw
425,,,PSQW,nan,Takes up at 12:45 PSQW,PSQW,,12:45:00,
425,,,Charlestown,9,PSQW,Charlestown,,13:30:00,
425,,,Limekiln,9,Charlestown,Limekiln,,15:15:00,
425,,,Takes Bus 9 (Route 122) at 18:45 PSQE,nan,,,,,Takes Bus 9 (Route 122) at 8:55 psqw
425,,,Takes up at 17:40 PSQE,nan,Takes Bus 9 (Route 122) at 18:45 PSQE,Takes up at 17:40 PSQE,,,
425,,,Takes up at 18:45 PSQE,nan,,,,,Duty 425 takes up at 18:45 psqe
425,,,PSQE,nan,Takes up at 18:45 PSQE,PSQE,,18:45:00,
425,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,19:35:00,
425,,,Ashington,SPL,Drimnagh Rd,Ashington,21:05:00,,
425,,,Phibsboro Garage,nan,Ashington,Phibsboro Garage,21:25:00,,
426,13:27,,Reports at 13:27,nan,,,,,Duty 426 reports at 13:27
426,,13:30:00,Departs garage,SPL,Reports at 13:27,Departs garage,,13:30:00,
426,,,Charlestown,9,Departs garage,Charlestown,,14:00:00,
426,,,Limekiln,9,Charlestown,Limekiln,,15:45:00,
426,,,PSQW,nan,Limekiln,PSQW,16:45:00,,
426,,,Takes Bus 10 (Route 122) at 17:45 PSQE,nan,,,,,Duty 426 Finished Duty
426,,,Takes up at 17:45 PSQE,nan,,,,,
426,,,PSQE,nan,Takes up at 17:45 PSQE,PSQE,,17:45:00,
426,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,18:35:00,
426,,,Ashington,122,Drimnagh Rd,Ashington,,20:15:00,
426,,,Drimnagh Rd,SPL,Ashington,Drimnagh Rd,21:35:00,,
426,,,Phibsboro Garage,nan,Drimnagh Rd,Phibsboro Garage,22:10:00,,
426,,,,nan,,,,,Duty 426 Finished Duty
427,,,Takes up at 16:45 PSQW,nan,,,,,
427,,,PSQW,nan,Takes up at 16:45 PSQW,PSQW,,16:45:00,
427,,,Charlestown,9,PSQW,Charlestown,,17:30:00,
427,,,Limekiln,9,Charlestown,Limekiln,,19:20:00,
427,,,Charlestown,9,Limekiln,Charlestown,,21:00:00,
427,,,PSQE,nan,Charlestown,PSQE,21:35:00,,
427,,,,nan,,,,,Duty 427 Finished Duty
427,,,Phibsboro,ROUTE 122,PSQE,Phibsboro,,,
427,,,Takes up at 13:50 PSQE,nan,,,,,
427,,,PSQE,nan,Takes up at 13:50 PSQE,PSQE,,13:50:00,
427,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,14:45:00,Duty 427 Finished Duty
427,,,PSQW,nan,Drimnagh Rd,PSQW,15:40:00,,
427,,,Takes Bus 15 (Route 9) at 16:45 PSQW,nan,,,,,Takes Bus 15 (Route 9) at 16:45 psqw
427,,,,nan,,,,,Duty 427 Finished Duty
427,,,Phibsboro,ROUTE 122,Takes Bus 15 (Route 9) at 16:45 PSQW,Phibsboro,,,
428,,,Takes up at 19:05 PSQE,nan,,,,,Duty 428 takes up at 19:05 psqe
428,,,PSQE,nan,Takes up at 19:05 PSQE,PSQE,,19:05:00,
428,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,20:00:00,
428,,,Ashington,122,Drimnagh Rd,Ashington,,21:15:00,
428,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,22:30:00,
428,,,Takes up at 14:50 PSQE,nan,,,,,Duty 428 takes up at 14:50 psqe
428,,,PSQE,nan,Takes up at 14:50 PSQE,PSQE,,14:50:00,
428,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,15:55:00,
428,,,Ashington,122,Drimnagh Rd,Ashington,,17:35:00,
428,,,PSQE,nan,Ashington,PSQE,18:05:00,,
428,,,Takes Bus 1 (Route 122) at 19:05 PSQE,nan,PSQE,Takes Bus 1 (Route 122) at 19:05 PSQE,,,Takes Bus 1 (Route 122) at 19:05 psqe
428,,,Takes up at 18:05 PSQE,nan,Takes Bus 1 (Route 122) at 19:05 PSQE,Takes up at 18:05 PSQE,,,
429,,,Takes up at 15:00 PSQW,nan,,,,,Duty 429 takes up at 15:00 psqw
429,,,PSQW,nan,Takes up at 15:00 PSQW,PSQW,,15:00:00,
429,,,Charlestown,9,PSQW,Charlestown,,16:00:00,
429,,,Limekiln,9,Charlestown,Limekiln,,17:45:00,
429,,,PSQW,nan,Limekiln,PSQW,18:40:00,,
429,,,Takes Bus 13 (Route9) at 19:40 PSQE,nan,,,,,Takes Bus 13 (Route 9) at 11:07 garage
429,,,Takes up at 19:40 PSQE,nan,,,,,Duty 429 takes up at 19:40 psqe
429,,,PSQE,nan,Takes up at 19:40 PSQE,PSQE,,19:40:00,
429,,,Limekiln,9,PSQE,Limekiln,,20:45:00,
429,,,Charlestown,9,Limekiln,Charlestown,,22:30:00,
429,,,Limekiln,SPL,Charlestown,Limekiln,23:50:00,,
429,,,Phibsboro Garage,nan,Limekiln,Phibsboro Garage,,,
429,,,,nan,,,,,Duty 429 Finished Duty
430,,,Takes up at 19:00 PSQE,nan,,,,,Duty 430 takes up at 19:00 psqe
430,,,PSQE,nan,Takes up at 19:00 PSQE,PSQE,,19:00:00,
430,14:57,,Reports at 14:57,nan,,,,,Duty 430 reports at 14:57
430,,15:00:00,Departs garage,SPL,Reports at 14:57,Departs garage,,15:00:00,
430,,,Drimnagh Rd,122,Departs garage,Drimnagh Rd,,15:35:00,
430,,,Ashington,122,Drimnagh Rd,Ashington,,17:15:00,
430,,,PSQE,nan,Ashington,PSQE,17:45:00,,
430,,,Takes Bus 9 (Route 9) at 19:00 PSQE,nan,,,,,Takes Bus 9 (Route 9) at 19:00 psqe
431,,,Takes up at 21:05 PSQW,nan,,,,,Duty 431 takes up at 21:05 psqw
431,,,PSQW,nan,Takes up at 21:05 PSQW,PSQW,,21:05:00,
431,,,Charlestown,9,PSQW,Charlestown,,22:00:00,
431,,,Limekiln,SPL,Charlestown,Limekiln,23:20:00,,
431,,,Phibsboro Garage,nan,Limekiln,Phibsboro Garage,,,
431,,,,nan,,,,,Duty 431 Finished Duty
431,,,,nan,,,,,Duty 431 Finished Duty
431,,,BUS 2,nan,Phibsboro Garage,BUS 2,,,
431,,,Takes up at 15:20 PSQW,nan,,,,,Duty 431 takes up at 15:20 psqw
431,,,PSQW,nan,Takes up at 15:20 PSQW,PSQW,,15:20:00,
431,,,Ashington,122,PSQW,Ashington,,15:55:00,
431,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,17:35:00,
431,,,Ashington,122,Drimnagh Rd,Ashington,,19:15:00,
431,,,PSQE,nan,Ashington,PSQE,19:45:00,,
431,,,Takes Bus 1 (Route 9) at 21:05 PSQW,nan,PSQE,Takes Bus 1 (Route 9) at 21:05 PSQW,,,Takes Bus 1 (Route 9) at 21:05 psqw
431,,,Takes up at 19:45 PSQE,nan,Takes Bus 1 (Route 9) at 21:05 PSQW,Takes up at 19:45 PSQE,,,Duty 431 Finished Duty
