Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
401,06:02,,Reports at 06:02,nan,,,,,Duty 401 reports at 06:02
401,,06:10:00,Departs garage,SPL,Reports at 06:02,Departs garage,,06:10:00,
401,,,Limekiln,9,Departs garage,Limekiln,,06:50:00,
401,,,Charlestown,9,Limekiln,Charlestown,,08:20:00,
401,,,Limekiln,9,Charlestown,Limekiln,,09:50:00,
401,,,PSQW,nan,Limekiln,PSQW,10:45:00,,
401,,,,nan,,,,,Duty 401 Finished Duty
402,06:02,,Reports at 06:02,nan,,,,,Duty 402 reports at 06:02
402,,06:10:00,Departs garage,SPL,Reports at 06:02,Departs garage,,06:10:00,
402,,,Charlestown,9,Departs garage,Charlestown,,06:40:00,
402,,,Limekiln,9,Charlestown,Limekiln,,07:50:00,
402,,,Charlestown,9,Limekiln,Charlestown,,09:40:00,
402,,,PSQE,nan,Charlestown,PSQE,10:15:00,,
402,,,,nan,,,,,Duty 402 Finished Duty
403,06:17,,Reports at 06:17,nan,,,,,Duty 403 reports at 06:17
403,,06:25:00,Departs garage,SPL,Reports at 06:17,Departs garage,,06:25:00,
403,,,Limekiln,9,Departs garage,Limekiln,,07:05:00,
403,,,Charlestown,9,Limekiln,Charlestown,,08:40:00,
403,,,PSQE,nan,Charlestown,PSQE,09:15:00,,
403,,,Takes Bus 11 (Route 9) at 10:37 Garage,nan,,,,,Duty 403 Finished Duty
403,10:37,,Reports at 10:37,nan,,,,,Duty 403 reports at 10:37
403,,10:45:00,Departs garage,SPL,Reports at 10:37,Departs garage,,10:45:00,
403,,,Charlestown,9,Departs garage,Charlestown,,11:15:00,
403,,,Limekiln,9,Charlestown,Limekiln,,13:00:00,
403,,,PSQW,nan,Limekiln,PSQW,14:05:00,,
403,,,,nan,,,,,Duty 403 Finished Duty
404,06:22,,Reports at 06:22,nan,,,,,Duty 404 reports at 06:22
404,,06:30:00,Departs garage,SPL,Reports at 06:22,Departs garage,,06:30:00,
404,,,Charlestown,9,Departs garage,Charlestown,,07:00:00,
404,,,Limekiln,9,Charlestown,Limekiln,,08:10:00,
404,,,PSQW,nan,Limekiln,PSQW,08:55:00,,
404,,,Takes Bus 3 (Route 122) at 10:05 PSQE,nan,,,,,Takes Bus 3 (Route 122) at 10:05 psqe
404,,,Takes up at 10:05 PSQE,nan,,,,,
404,,,PSQE,nan,Takes up at 10:05 PSQE,PSQE,,10:05:00,
404,,,Drimnagh Rd,122,PSQE,Drimnagh Rd,,11:05:00,
404,,,Ashington,122,Drimnagh Rd,Ashington,,12:35:00,
404,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,14:05:00,
404,,,PSQW,nan,Drimnagh Rd,PSQW,14:55:00,,
404,,,,nan,,,,,Duty 404 Finished Duty
404,,,,nan,,,,,Duty 404 Finished Duty
404,,,Phibsboro,ROUTE 122,PSQW,Phibsboro,,,
405,,,Takes up at 10:45  PSQW,nan,,,,,
405,,,PSQW,nan,Takes up at 10:45  PSQW,PSQW,,10:45:00,
405,,,Charlestown,9,PSQW,Charlestown,,11:30:00,
405,,,Limekiln,9,Charlestown,Limekiln,,13:15:00,
405,,,Charlestown,9,Limekiln,Charlestown,,15:15:00,Duty 405 Finished Duty
405,,,PSQE,nan,Charlestown,PSQE,16:00:00,,
405,,,,nan,,,,,Duty 405 Finished Duty
405,,,Phibsboro,ROUTE 9,PSQE,Phibsboro,,,
405,06:22,,Reports at 06:22,nan,,,,,Duty 405 reports at 06:22
405,,06:30:00,Departs garage,SPL,Reports at 06:22,Departs garage,,06:30:00,
405,,,Ashington,122,Departs garage,Ashington,,06:55:00,
405,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,08:05:00,
405,,,Ashington,122,Drimnagh Rd,Ashington,,09:15:00,
405,,,PSQE,nan,Ashington,PSQE,09:45:00,,
405,,,Takes Bus 1 (Route 9) at 10:45 PSQW,nan,,,,,Duty 405 Finished Duty
406,,,Takes up at 12:55 PSQE,nan,,,,,
406,,,PSQE,nan,Takes up at 12:55 PSQE,PSQE,,12:55:00,
406,,,Limekiln,9,PSQE,Limekiln,,14:00:00,
406,,,PSQW,nan,Limekiln,PSQW,15:00:00,,
406,,,,nan,,,,,Duty 406 Finished Duty
406,,,Phibsboro,ROUTE 9,PSQW,Phibsboro,,,
406,06:27,,Reports at 06:27,nan,,,,,Duty 406 reports at 06:27
406,,06:35:00,Departs garage,SPL,Reports at 06:27,Departs garage,,06:35:00,
406,,,Drimnagh Rd,122,Departs garage,Drimnagh Rd,,07:05:00,
406,,,Ashington,122,Drimnagh Rd,Ashington,,08:15:00,
406,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,09:25:00,Takes Bus 7 (Route 122) at 20:15 psqe
406,,,Ashington,122,Drimnagh Rd,Ashington,,10:55:00,
406,,,PSQE,nan,Ashington,PSQE,11:30:00,,
406,,,Takes Bus 5 (Route 9) at 12:55 PSQE,nan,,,,,Takes Bus 5 (Route 9) at 12:55 psqe
407,06:32,,Reports at 06:32,nan,,,,,Duty 407 reports at 06:32
407,,06:40:00,Departs garage,SPL,Reports at 06:32,Departs garage,,06:40:00,
407,,,Limekiln,9,Departs garage,Limekiln,,07:20:00,
407,,,Charlestown,9,Limekiln,Charlestown,,09:00:00,
407,,,PSQE,nan,Charlestown,PSQE,09:35:00,,
407,,,Takes Bus 13 (Route 9) at 11:07 Garage,nan,,,,,Takes Bus 13 (Route 9) at 11:07 garage
407,11:07,,Reports at 11:07,nan,,,,,Duty 407 reports at 11:07
407,,11:15:00,Departs garage,SPL,Reports at 11:07,Departs garage,,11:15:00,
407,,,Charlestown,9,Departs garage,Charlestown,,11:45:00,
407,,,Limekiln,9,Charlestown,Limekiln,,13:30:00,
407,,,Charlestown,9,Limekiln,Charlestown,,15:30:00,
407,,,PSQE,nan,Charlestown,PSQE,16:10:00,,
407,,,,nan,,,,,Duty 407 Finished Duty
408,,,Takes up at 10:15 PSQE,nan,,,,,
408,,,PSQE,nan,Takes up at 10:15 PSQE,PSQE,,10:15:00,
408,,,Limekiln,9,PSQE,Limekiln,,11:10:00,
408,,,Charlestown,9,Limekiln,Charlestown,,12:45:00,
408,,,Limekiln,9,Charlestown,Limekiln,,14:30:00,
408,,,PSQW,nan,Limekiln,PSQW,15:30:00,,
408,,,,nan,,,,,Duty 408 Finished Duty
408,,,Phibsboro,ROUTE 9,PSQW,Phibsboro,,,
408,06:42,,Reports at 06:42,nan,,,,,Duty 408 reports at 06:42
408,,06:50:00,Departs garage,SPL,Reports at 06:42,Departs garage,,06:50:00,
408,,,Charlestown,9,Departs garage,Charlestown,,07:20:00,
408,,,Limekiln,9,Charlestown,Limekiln,,08:30:00,
408,,,PSQW,nan,Limekiln,PSQW,09:15:00,,
408,,,Takes Bus 2 (Route 9) at 10:15 PSQE,nan,,,,,Takes Bus 2 (Route 9) at 10:15 psqe
409,,,Takes up at 11:05 PSQE,nan,,,,,
409,,,PSQE,nan,Takes up at 11:05 PSQE,PSQE,,11:05:00,
409,,,Limekiln,9,PSQE,Limekiln,,12:15:00,
409,,,Charlestown,9,Limekiln,Charlestown,,14:15:00,
409,,,PSQE,nan,Charlestown,PSQE,15:00:00,,
409,,,,nan,,,,,Duty 409 Finished Duty
409,,,Phibsboro,ROUTE 9,PSQE,Phibsboro,,,
409,06:42,,Reports at 06:42,nan,,,,,Duty 409 reports at 06:42
409,,06:50:00,Departs garage,SPL,Reports at 06:42,Departs garage,,06:50:00,
409,,,Ashington,122,Departs garage,Ashington,,07:15:00,
409,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,08:25:00,
409,,,Ashington,122,Drimnagh Rd,Ashington,,09:35:00,
409,,,PSQE,nan,Ashington,PSQE,10:05:00,,
409,,,Takes Bus 8 (Route 9) at 11:05 PSQE,nan,,,,,Duty 409 Finished Duty
410,06:47,,Reports at 06:47,nan,,,,,Duty 410 reports at 06:47
410,,06:55:00,Departs garage,SPL,Reports at 06:47,Departs garage,,06:55:00,
410,,,Limekiln,9,Departs garage,Limekiln,,07:35:00,
410,,,Charlestown,9,Limekiln,Charlestown,,09:20:00,
410,,,Limekiln,9,Charlestown,Limekiln,,10:50:00,
410,,,PSQW,nan,Limekiln,PSQW,11:45:00,,
410,,,Takes Bus 7 (Route 122) at 12:55 PSQW,nan,,,,,Takes Bus 7 (Route 122) at 12:55 psqw
410,,,Takes up at 12:55 PSQW,nan,,,,,
410,,,PSQW,nan,Takes up at 12:55 PSQW,PSQW,,12:55:00,
410,,,Ashington,122,PSQW,Ashington,,13:35:00,
410,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,15:05:00,
410,,,PSQW,nan,Drimnagh Rd,PSQW,15:55:00,,
410,,,,nan,,,,,Duty 410 Finished Duty
410,,,Phibsboro,ROUTE 122,PSQW,Phibsboro,,,
411,,,Takes up at 13:00 PSQW,nan,,,,,Duty 411 Finished Duty
411,,,PSQW,nan,Takes up at 13:00 PSQW,PSQW,,13:00:00,
411,,,Charlestown,9,PSQW,Charlestown,,13:45:00,
411,,,Limekiln,9,Charlestown,Limekiln,,15:30:00,
411,,,PSQW,nan,Limekiln,PSQW,16:30:00,,
411,,,,nan,,,,,Duty 411 Finished Duty
411,,,Phibsboro,ROUTE 9,PSQW,Phibsboro,,,
411,06:47,,Reports at 06:47,nan,,,,,Duty 411 reports at 06:47
411,,06:55:00,Departs garage,SPL,Reports at 06:47,Departs garage,,06:55:00,
411,,,Drimnagh Rd,122,Departs garage,Drimnagh Rd,,07:25:00,
411,,,Ashington,122,Drimnagh Rd,Ashington,,08:35:00,
411,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,09:45:00,Takes Bus 1 (Route 122) at 19:05 psqe
411,,,Ashington,122,Drimnagh Rd,Ashington,,11:15:00,
411,,,PSQE,nan,Ashington,PSQE,11:50:00,,
411,,,Takes Bus 6 (Route 9) at 13:00 PSQW,nan,,,,,Takes Bus 6 (Route 9) at 13:00 psqw
412,07:02,,Reports at 07:02,nan,,,,,Duty 412 reports at 07:02
