shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ1/01,007001,04:08:00,04:16:00,GARAGE,nan,nan,nan,nan,nan,09:39:00,GARAGE,09:39:00,05:31:00,05:31:00
PZ1/02,007002,04:22:00,04:30:00,GARAGE,nan,nan,nan,nan,nan,09:30:00,39A-BWALK,09:50:00,05:28:00,05:28:00
PZ1/03,007003,04:22:00,04:30:00,GARAGE,09:10:00,39A-ASTONQ,10:10:00,10:10:00,39A-BWALK,11:40:00,39A-ASTONQ,12:00:00,07:38:00,06:38:00
PZ1/04,007004,04:42:00,04:50:00,GARAGE,nan,nan,nan,nan,nan,10:10:00,39A-BWALK,10:30:00,05:48:00,05:48:00
PZ1/05,007005,04:42:00,04:50:00,GARAGE,nan,nan,nan,nan,nan,09:53:00,C1/C2-BWALK,10:13:00,05:31:00,05:31:00
PZ1/06,007006,04:47:00,04:55:00,GARAGE,09:35:00,39A-ASTONQ,10:32:00,10:32:00,39-BWALK,11:57:00,39-ASTONQ,12:17:00,07:30:00,06:33:00
PZ1/07,007007,04:52:00,05:00:00,GARAGE,nan,nan,nan,nan,nan,09:58:00,C1/C2-BWALK,10:18:00,05:26:00,05:26:00
PZ1/08,007008,04:54:00,05:02:00,GARAGE,nan,nan,nan,nan,nan,10:32:00,39-BWALK,10:52:00,05:58:00,05:58:00
PZ1/09,007009,05:00:00,05:08:00,GARAGE,10:09:00,C1/C2-BWALK,11:00:00,11:00:00,39A-BWALK,12:30:00,39A-ASTONQ,12:50:00,07:50:00,06:59:00
PZ1/10,007010,05:02:00,05:10:00,GARAGE,nan,nan,nan,nan,nan,10:10:00,39A-BWALK,10:30:00,05:28:00,05:28:00
PZ1/11,007011,05:07:00,05:15:00,GARAGE,08:10:00,39A-ASTONQ,09:10:00,09:10:00,39A-ASTONQ,13:00:00,39A-ASTONQ,13:20:00,08:13:00,07:13:00
PZ1/12,007012,05:12:00,05:20:00,GARAGE,08:02:00,C1/C2-ASTONQ,09:00:00,09:00:00,39A-ASTONQ,12:55:00,39A-ASTONQ,13:15:00,08:03:00,07:05:00
PZ1/13,007013,05:17:00,05:25:00,GARAGE,08:40:00,39A-ASTONQ,09:45:00,09:45:00,39A-ASTONQ,12:05:00,39A-BWALK,12:25:00,07:08:00,06:03:00
PZ1/14,007014,05:17:00,05:25:00,GARAGE,nan,nan,nan,nan,nan,10:35:00,GARAGE,10:35:00,05:18:00,05:18:00
PZ1/15,007015,05:20:00,05:28:00,GARAGE,08:03:00,GARAGE,09:02:00,09:22:00,39-ASTONQ,12:57:00,39-ASTONQ,13:17:00,07:57:00,06:58:00
PZ1/16,007016,05:22:00,05:30:00,GARAGE,08:17:00,39-ASTONQ,09:20:00,09:20:00,39A-ASTONQ,13:10:00,39A-ASTONQ,13:30:00,08:08:00,07:05:00
PZ1/17,007017,05:24:00,05:32:00,GARAGE,08:14:00,C1/C2-ASTONQ,09:10:00,09:10:00,39A-BWALK,13:10:00,39A-BWALK,13:30:00,08:06:00,07:10:00
PZ1/18,007018,05:27:00,05:35:00,GARAGE,09:00:00,39A-ASTONQ,09:55:00,09:55:00,39A-ASTONQ,12:15:00,39A-BWALK,12:35:00,07:08:00,06:13:00
PZ1/19,007019,05:31:00,05:39:00,GARAGE,08:53:00,C1/C2-BWALK,09:53:00,09:53:00,C1/C2-BWALK,13:06:00,C1/C2-BWALK,13:26:00,07:55:00,06:55:00
PZ1/20,007020,05:44:00,05:52:00,GARAGE,nan,nan,nan,nan,nan,10:50:00,GARAGE,10:50:00,05:06:00,05:06:00
PZ1/21,007021,05:44:00,05:52:00,GARAGE,10:51:00,C1/C2-BWALK,12:30:00,12:30:00,39A-ASTONQ,15:10:00,39A-BWALK,15:30:00,09:46:00,08:07:00
PZ1/22,007022,05:44:00,05:52:00,GARAGE,nan,nan,nan,nan,nan,10:57:00,39-ASTONQ,11:17:00,05:33:00,05:33:00
PZ1/23,007023,05:46:00,05:54:00,GARAGE,nan,nan,nan,nan,nan,11:06:00,C1/C2-BWALK,11:26:00,05:40:00,05:40:00
PZ1/24,007024,05:47:00,05:55:00,GARAGE,09:20:00,39A-ASTONQ,10:20:00,10:20:00,39A-ASTONQ,12:45:00,39A-BWALK,13:05:00,07:18:00,06:18:00
PZ1/25,007025,05:50:00,05:58:00,GARAGE,nan,nan,nan,nan,nan,11:12:00,GARAGE,11:12:00,05:22:00,05:22:00
PZ1/26,007026,05:52:00,06:00:00,GARAGE,08:55:00,GARAGE,09:50:00,10:10:00,39A-ASTONQ,12:40:00,39A-BWALK,13:00:00,07:08:00,06:13:00
PZ1/27,007027,05:57:00,06:05:00,GARAGE,09:30:00,39A-ASTONQ,10:34:00,10:34:00,C1/C2-ASTONQ,12:36:00,C1/C2-BWALK,12:56:00,06:59:00,05:55:00
PZ1/28,007028,06:00:00,06:08:00,GARAGE,09:05:00,GARAGE,10:07:00,10:27:00,39-ASTONQ,14:22:00,GARAGE,14:22:00,08:22:00,07:20:00
PZ1/29,007029,06:02:00,06:10:00,GARAGE,nan,nan,nan,nan,nan,11:36:00,C1/C2-BWALK,11:56:00,05:54:00,05:54:00
PZ1/30,007030,06:05:00,06:13:00,GARAGE,09:12:00,GARAGE,10:10:00,10:30:00,39A-ASTONQ,14:35:00,39A-ASTONQ,14:55:00,08:50:00,07:52:00
PZ1/31,007031,06:09:00,06:17:00,GARAGE,nan,nan,nan,nan,nan,11:47:00,GARAGE,11:47:00,05:38:00,05:38:00
PZ1/32,007032,06:10:00,06:18:00,GARAGE,09:22:00,39-ASTONQ,10:50:00,10:50:00,39A-ASTONQ,14:50:00,39A-ASTONQ,15:10:00,09:00:00,07:32:00
PZ1/33,007033,06:12:00,06:20:00,GARAGE,09:45:00,39A-ASTONQ,10:50:00,10:50:00,39A-BWALK,14:55:00,39A-BWALK,15:15:00,09:03:00,07:58:00
PZ1/34,007034,06:13:00,06:21:00,GARAGE,09:17:00,GARAGE,10:37:00,10:57:00,39-ASTONQ,14:17:00,39-BWALK,14:37:00,08:24:00,07:04:00
PZ1/35,007035,06:19:00,06:27:00,GARAGE,08:42:00,39-BWALK,09:58:00,09:58:00,C1/C2-BWALK,14:41:00,C1/C2-ASTONQ,15:01:00,08:42:00,07:26:00
PZ1/36,007036,06:20:00,06:28:00,GARAGE,09:40:00,GARAGE,10:46:00,11:06:00,C1/C2-BWALK,14:51:00,C1/C2-BWALK,15:11:00,08:51:00,07:45:00
PZ1/37,007037,06:22:00,06:30:00,GARAGE,09:55:00,39A-ASTONQ,11:20:00,11:20:00,39A-ASTONQ,15:20:00,39A-ASTONQ,15:40:00,09:18:00,07:53:00
PZ1/38,007038,06:28:00,06:36:00,GARAGE,nan,nan,nan,nan,nan,12:01:00,C1/C2-BWALK,12:21:00,05:53:00,05:53:00
PZ1/39,007039,06:29:00,06:37:00,GARAGE,08:57:00,39-BWALK,10:09:00,10:09:00,C1/C2-BWALK,15:01:00,1/C2-ASTONQ,15:21:00,08:52:00,07:40:00
PZ1/40,007040,06:32:00,06:40:00,GARAGE,10:10:00,39A-ASTONQ,11:36:00,11:36:00,C1/C2-BWALK,15:21:00,C1/C2-BWALK,15:41:00,09:09:00,07:43:00
PZ1/41,007041,11:20:00,11:43:00,C1/C2-ASTONQ,15:15:00,C1/C2-ASTONQ,16:17:00,16:17:00,39-BWALK,20:17:00,GARAGE,20:17:00,08:57:00,07:55:00
PZ1/42,007042,11:38:00,12:01:00,C1/C2-BWALK,15:34:00,C1/C2-BWALK,16:30:00,16:30:00,39A-BWALK,20:20:00,GARAGE,20:20:00,08:42:00,07:46:00
PZ1/43,007043,11:34:00,11:57:00,39-ASTONQ,16:32:00,39-ASTONQ,17:40:00,17:40:00,39A-BWALK,21:10:00,GARAGE,21:10:00,09:36:00,08:28:00
PZ1/44,007044,11:37:00,11:40:00,GARAGE,15:00:00,39A-ASTONQ,16:15:00,16:15:00,39A-ASTONQ,20:30:00,GARAGE,20:30:00,08:53:00,07:38:00
PZ1/45,007045,11:37:00,12:00:00,39A-BWALK,16:05:00,39A-BWALK,17:01:00,17:01:00,C1/C2-BWALK,20:12:00,GARAGE,20:12:00,08:35:00,07:39:00
PZ1/46,007046,11:37:00,12:00:00,39A-ASTONQ,16:05:00,39A-ASTONQ,17:15:00,17:15:00,39A-ASTONQ,21:05:00,39A-ASTONQ,21:25:00,09:48:00,08:38:00
PZ1/47,007047,11:43:00,12:06:00,C1/C2-BWALK,15:56:00,C1/C2-BWALK,17:00:00,17:00:00,39A-BWALK,20:40:00,GARAGE,20:40:00,08:57:00,07:53:00
PZ1/48,007048,11:40:00,11:43:00,GARAGE,14:57:00,39-ASTONQ,16:02:00,16:02:00,39-ASTONQ,20:40:00,GARAGE,20:40:00,09:00:00,07:55:00
PZ1/49,007049,11:42:00,12:05:00,39A-BWALK,16:20:00,39A-BWALK,17:17:00,17:17:00,39-BWALK,20:42:00,GARAGE,20:42:00,09:00:00,08:03:00
PZ1/50,007050,11:47:00,12:10:00,39A-ASTONQ,16:15:00,39A-ASTONQ,17:25:00,17:25:00,39A-ASTONQ,21:20:00,39A-ASTONQ,21:40:00,09:53:00,08:43:00
PZ1/51,007051,11:52:00,12:15:00,39A-BWALK,16:30:00,39A-BWALK,17:36:00,17:36:00,C1/C2-BWALK,20:39:00,GARAGE,20:39:00,08:47:00,07:41:00
PZ1/52,007052,12:02:00,12:25:00,39A-BWALK,16:40:00,39A-BWALK,17:47:00,17:47:00,39-BWALK,21:30:00,39-BWALK,21:50:00,09:48:00,08:41:00
PZ1/53,007053,12:04:00,12:27:00,39-ASTONQ,15:52:00,39-BWALK,16:47:00,16:47:00,39-BWALK,20:27:00,GARAGE,20:27:00,08:23:00,07:28:00
PZ1/54,007054,12:09:00,12:32:00,39-BWALK,16:47:00,39-BWALK,17:50:00,17:50:00,39A-BWALK,21:35:00,39A-BWALK,21:55:00,09:46:00,08:43:00
PZ1/55,007055,12:13:00,12:36:00,C1/C2-BWALK,16:18:00,C1/C2-BWALK,17:20:00,17:20:00,39A-BWALK,20:55:00,GARAGE,20:55:00,08:42:00,07:40:00
PZ1/56,007056,12:17:00,12:40:00,39A-BWALK,16:50:00,39A-BWALK,17:51:00,17:51:00,C1/C2-BWALK,20:58:00,GARAGE,20:58:00,08:41:00,07:40:00
PZ1/57,007057,12:22:00,12:45:00,39A-BWALK,17:00:00,39A-BWALK,18:02:00,18:02:00,39-ASTONQ,21:50:00,39-ASTONQ,22:10:00,09:48:00,08:46:00
PZ1/58,007058,12:24:00,12:27:00,GARAGE,15:31:00,C1/C2-ASTONQ,16:30:00,16:30:00,39A-ASTONQ,20:45:00,GARAGE,20:45:00,08:21:00,07:22:00
PZ1/59,007059,12:37:00,13:00:00,39A-ASTONQ,17:25:00,39A-ASTONQ,18:20:00,18:20:00,39A-ASTONQ,21:50:00,39A-ASTONQ,22:10:00,09:33:00,08:38:00
PZ1/60,007060,12:34:00,12:57:00,39-ASTONQ,16:17:00,39-BWALK,17:37:00,17:37:00,C1/C2-ASTONQ,22:30:00,GARAGE,22:30:00,09:56:00,08:36:00
PZ1/61,007061,12:32:00,12:55:00,39-ASTONQ,15:25:00,39A-BWALK,16:25:00,16:48:00,GARAGE,21:37:00,C1/C2-ASTONQ,21:57:00,09:25:00,08:25:00
PZ1/62,007062,12:43:00,13:06:00,C1/C2-BWALK,16:47:00,C1/C2-BWALK,17:50:00,17:50:00,39A-ASTONQ,21:30:00,GARAGE,21:30:00,08:47:00,07:44:00
PZ1/63,007063,12:47:00,13:10:00,39A-ASTONQ,15:45:00,39A-BWALK,16:50:00,16:50:00,39A-BWALK,20:55:00,39A-BWALK,21:15:00,08:28:00,07:23:00
PZ1/64,007064,12:47:00,13:10:00,39A-BWALK,17:20:00,39A-BWALK,18:25:00,18:25:00,39A-BWALK,22:05:00,39A-BWALK,22:25:00,09:38:00,08:33:00
PZ1/65,007065,12:57:00,13:00:00,GARAGE,16:30:00,39A-ASTONQ,17:25:00,17:48:00,GARAGE,21:57:00,GARAGE,21:57:00,09:00:00,08:05:00
PZ1/66,007066,12:57:00,13:20:00,39A-ASTONQ,15:55:00,39A-BWALK,17:02:00,17:02:00,39-ASTONQ,21:20:00,39-ASTONQ,21:40:00,08:43:00,07:36:00
PZ1/67,007067,13:17:00,13:40:00,39A-BWALK,18:00:00,39A-BWALK,18:55:00,18:55:00,39A-BWALK,22:30:00,GARAGE,22:30:00,09:13:00,08:18:00
PZ1/68,007068,13:19:00,13:22:00,GARAGE,17:47:00,39-BWALK,18:45:00,18:45:00,39A-BWALK,22:10:00,GARAGE,22:10:00,08:51:00,07:53:00
PZ1/69,007069,14:18:00,14:41:00,C1/C2-ASTONQ,17:01:00,C1/C2-BWALK,18:00:00,18:00:00,39A-BWALK,21:15:00,GARAGE,21:15:00,06:57:00,05:58:00
PZ1/70,007070,14:37:00,15:00:00,39A-ASTONQ,17:50:00,39A-BWALK,18:45:00,18:45:00,39-BWALK,22:25:00,39-BWALK,22:45:00,08:08:00,07:13:00
PZ1/71,007071,14:38:00,15:01:00,C1/C2-ASTONQ,20:11:00,GARAGE,21:10:00,21:30:00,39-BWALK,00:05:00,GARAGE,00:05:00,09:27:00,08:28:00
PZ1/72,007072,14:50:00,14:53:00,GARAGE,18:08:00,C1/C2-ASTONQ,19:12:00,19:12:00,39-BWALK,23:45:00,GARAGE,23:45:00,08:55:00,07:51:00
PZ1/73,007073,14:52:00,15:15:00,C1/C2-ASTONQ,17:36:00,39A-BWALK,18:34:00,18:34:00,C1/C2-BWALK,23:15:00,GARAGE,23:15:00,08:23:00,07:25:00
PZ1/74,007074,14:58:00,15:21:00,C1/C2-BWALK,19:07:00,C1/C2-BWALK,20:07:00,20:07:00,39-BWALK,00:20:00,GARAGE,00:20:00,09:22:00,08:22:00
PZ1/75,007075,15:08:00,15:31:00,C1/C2-ASTONQ,17:51:00,C1/C2-BWALK,19:07:00,19:07:00,C1/C2-BWALK,23:45:00,GARAGE,23:45:00,08:37:00,07:21:00
