shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief,routes
807/06,007506,08:27:00,08:35:00,Garage,WORKOUT,nan,nan,nan,nan,13:45:00,PK Gate St,14:15:00,05:48:00,05:48:00,00:00:00,99
807/07,007507,13:15:00,13:45:00,Garage,WORKOUT,nan,nan,nan,nan,18:55:00,Garage,18:55:00,05:40:00,05:40:00,00:00:00,99
